index,name,address,description,latitude,longitude,level
0,산정호수,경기도 포천시 영북면 산정호수로411번길 89,",",38.0710302,127.32098444286146,5
1,포천아트밸리,경기도 포천시 신북면 아트밸리로 234,"옛 화강암 채석장으로 야외 조각상, 호수, 콘서트 무대 등이 있는 복합 문화 공간입니다.",37.9235765,127.2401465,5
2,포천 허브아일랜드,경기도 포천시 신북면 청신로947번길 35 KR,"쾌적한 공원으로 다양한 테마의 어트랙션과 카페, 기념품 가게가 있습니다.",37.9667976,127.13130692984907,5
3,포천 한탄강 하늘다리,경기도 포천시 영북면 비둘기낭길 207,",",0.0,0.0,5
4,비둘기낭 폭포,경기도 포천시 영북면 대회산리 415 2,",",0.0,0.0,5
5,화적연,경기도 포천시 관인면 뗏마루길,",",0.0,0.0,5
6,수목원프로방스,경기도 포천시 신북면 금동리 148,",",0.0,0.0,5
7,백운계곡,경기도 포천시 이동면 도평리,",",0.0,0.0,5
8,국립수목원,경기도 포천시 소흘읍 광릉수목원로 415,"산책로, 수목이 우거진 지역, 정원, 온실, 숲 박물관이 있는 국립 수목원입니다.",37.7532334,127.16288662311489,5
9,산사원,경기도 포천시 화현면 화현리 512,",",0.0,0.0,5
10,깊이울유원지,경기도 포천시 신북면 심곡리 769-1,",",0.0,0.0,5
11,포천한탄강 벼룻길,경기도 포천시 신북면 심곡리 769-1,",",0.0,0.0,5
12,광릉추모공원,경기도 포천시 내촌면 부마로 341,",",37.77528645,127.19728022990998,5
13,서운동산,경기도 포천시 내촌면 내진로9번길 237,",",37.7726437,127.2030430386004,5
