,0,1,2
0,거제 관광모노레일,경상남도 거제시 고현동 362,","
1,외도 보타니아,경상남도 거제시 일운면 외도길 17 외도해상농원,바위로 이루어진 작은 섬이 계단식으로 깔끔하게 손질된 식물원으로 탈바꿈한 곳으로 페리를 이용해 갈 수 있습니다.
2,바람의 언덕,경상남도 거제시 남부면,"산과 바다 풍경을 모두 볼 수 있고, 편의시설과 오래된 풍차가 있는 예스러운 해변 근처의 유명한 언덕입니다."
3,매미성,경상남도 거제시 장목면 복항길,","
4,거제자연예술랜드,경상남도 거제시 동부면 구천리,","
5,국사봉,경상남도 거제시 수양동 산51-3,","
6,거제맹종죽테마파크,경상남도 거제시 하청면 거제북로 700,","
7,거제씨월드,경상남도 거제시 일운면 지세포해안로 15,","
8,거제장목관광단지,경상남도 거제시 장목면 율천리,","
9,구조라 해수욕장,경상남도 거제시 일운면 구조라리 500-1,","
10,신선대 전망대,경상남도 거제시 남부면 갈곶리 산21-20,","
11,해안거님길,경상남도 거제시 남부면 갈곶리 산21-20,","
12,다대 어촌체험마을,경상남도 거제시 남부면 다대리 67,","
13,홍포전망대,경상남도 거제시 남부면 다포리,","
