,0,1,2
0,노무현대통령생가,경상남도 김해시 진영읍 봉하로 129,","
1,김해관광유통단지,경상남도 김해시 장유면 신문리,","
2,분성산,경상남도 김해시 어방동 산 964,","
3,장유대청계곡,경상남도 김해시 장유면 대청리 794-10,","
4,국립김해박물관,경상남도 김해시 가야의길 190,"가야 시대의 문화 유산을 보여주는 박물관으로 도자기, 수공예품, 매장지 등이 전시되어 있습니다."
5,동림사,경상남도 김해시 인제로284번길 15-335,","
6,봉황동유적,경상남도 김해시 봉황동 158,","
7,김해 대성동 고분군,경상남도 김해시 가야의길 126,","
8,김해가야테마파크,경상남도 김해시 가야테마길 161,"놀이기구, 음악, 교육용 전시가 있는 고대 가야 왕국을 재현한 레저 센터입니다."
9,롯데워터파크 김해,경상남도 김해시 장유로 555,"폴리네시안 테마의 거대한 워터파크로 슬라이드, 파도풀과 같은 다양한 어트랙션이 있습니다."
10,김해 낙동강 레일바이크 밒 파크,경상남도 김해시 생림면 마사리 654-4,","
11,은하사(銀河寺),경상남도 김해시 신어산길 167,","
12,김해천문대,경상남도 김해시 신어산길 167,","
13,장척계곡,경상남도 김해시 상동면 묵방리,","
