,0,1,2
0,안동 하회마을,경상북도 안동시 풍천면 전서로 186,조선의 전통 탈 제작 및 기타 공예품으로 유명한 조선 시대 마을입니다.
1,부용대,경상북도 안동시 풍천면 광덕솔밭길 72,","
2,안동문화관광단지,경상북도 안동시 성곡동,","
3,양진당,경상북도 안동시 풍천면 종가길 68,","
4,영호루,경상북도 안동시 강남로 187-5,","
5,신세동 벽화마을,경상북도 안동시 동문동 428-2,","
6,월영정(月映亭),경상북도 안동시 상아동 569,","
7,유교랜드,경상북도 안동시 성곡동 관광단지로 346-30,","
8,안동학가산온천,경상북도 안동시 서후면 명리옹기마길 14,","
9,만휴정,경상북도 안동시 길안면 묵계하리길 42,","
10,안동 임청각(臨淸閣),경상북도 안동시 중구동 임청각길 63,","
11,안동전통문화콘텐츠박물관,경상북도 안동시 명륜동 344,","
12,안동 민속촌,경상북도 안동시 명륜동 344,","
13,안동이천동석불상,경상북도 안동시 이천동 산2,","
