,0,1,2
0,청도 프로방스,경상북도 청도군 화양읍 이슬미로 272-23,"모형과 동화 캐릭터, 음식점, 100곳 이상의 포토존이 있는 조명 장식의 테마파크입니다."
1,청도 레일바이크,경상북도 청도군 청도읍 유호리 39-2,","
2,청도읍성,경상북도 청도군 화양읍 동상리,","
3,청도소싸움미디어체험관,경상북도 청도군 화양읍 삼신리 1059-1,","
4,다로리 벽화마을,경상북도 청도군 화양읍 다로리 426-9,","
5,낙대폭포,경상북도 청도군 화양읍 범곡리,","
6,청도새마을테마파크,경상북도 청도군 청도읍 신도리 산116,","
7,솔바람길,경상북도 청도군 운문면 운문사길,","
8,청도박물관,경상북도 청도군 이서면 이서로 567,","
9,운문사,경상북도 청도군 운문면 운문사길 264,산속의 비구니 사찰이며 7개의 소중한 국가적 공예품을 소장하고 있습니다.
10,남산계곡,"경북 청도군 화양읍 , 청도읍",","
11,공암풍벽,경상북도 청도군 운문면 공암리 산46,","
12,선암서원,경상북도 청도군 운문면 공암리 산46,","
13,남산계곡,경상북도 청도군 화양읍 동천리 590-2,","
