,0,1,2
0,대한다원 보성녹차밭,전라남도 보성군 보성읍 봉산리 1291 KR,계단식 차밭과 삼나무 숲이 내려다보이는 전망대와 카페가 있는 다원입니다.
1,한국차문화공원,전라남도 보성군 보성읍 녹차로 775,","
2,보성녹차밭 대한다원,전라남도 보성군 보성읍 녹차로 763-65,드넓은 녹차 밭으로 계단식의 푸르른 차밭을 따라 산책하고 녹차 아이스크림 등의 디저트도 맛볼 수 있습니다.
3,대한다원,전라남도 보성군 보성읍 봉산리 1275,","
4,보성녹차마을,전라남도 보성군 회천면 영천리 1-20,","
5,한국차박물관,전라남도 보성군 녹차로 775,","
6,득량역추억의거리,전라남도 보성군 득량면 오봉리 909 35,","
7,Hills in the field of tea,전라남도 보성군 보성읍 봉산리 산137-1,","
8,보성 강골마을,전라남도 보성군 득량면 오봉리 396-1,","
9,비봉공룡공원,전라남도 보성군 득량면 비봉리 산113,","
10,보성 벌교 홍교,전라남도 보성군 벌교읍 벌교리 156-3,","
11,월곡영화골 벽화마을,전라남도 보성군 벌교읍 벌교리 508,","
12,득량만,전라남도 보성군 벌교읍 벌교리 508,","
13,제암산자연휴양림,전라남도 보성군 웅치면 대산리 산113-1,","
