,0,1,2
0,여수해양레일바이크,전라남도 여수시 만흥동 141-2,3.5km의 레일바이크 트랙으로 여수의 탁 트인 바다 전경을 즐기며 탑승할 수 있습니다.
1,여수해양공원,전라남도 여수시 중앙동 246-1,","
2,천사벽화마을,전라남도 여수시 고소동,","
3,진남관,전라남도 여수시 동문로 11,","
4,돌산공원,전라남도 여수시 돌산읍 우두리 산1,탁 트인 야경으로 유명한 드넓은 공원으로 찻집과 케이블카가 있습니다.
5,여수해상케이블카 돌산탑승장,전라남도 여수시 돌산읍 돌산로 3600-1,"본섬과 돌산섬을 잇는 케이블카로, 탁 트인 바다 풍경과 산 경치를 감상할 수 있습니다."
6,이순신광장,전라남도 여수시 중앙동 383,","
7,장도,전라남도 여수시 웅천동 산275-1,","
8,여수 자산공원,전라남도 여수시 종화동,","
9,여수예술랜드,전라남도 여수시 돌산읍 무술목길 142-1,","
10,여수시,전라남도 여수시,","
11,돌산도,전라남도 여수시,","
12,여수세계박람회 스카이타워,전라남도 여수시 덕충동 박람회길 1 KR,","
13,이순신공원,전라남도 여수시 웅천동 182 1,","
