,0,1,2
0,공산성,충청남도 공주시 웅진동 웅진로 280,강과 공주 시내가 내려다보이는 산 중턱에 자리 잡은 수백 년 된 백제 시대의 요새입니다.
1,제민천,충청남도 공주시 웅진동 무령로 201,","
2,동학사계곡,충청남도 공주시 반포면 학봉리,","
3,국립공주박물관,충청남도 공주시 관광단지길 34,"주화, 왕실 보석, 토기 등 백제 시대 유물을 볼 수 있는 상설 전시와 특별 전시가 열립니다."
4,미르섬,충청남도 공주시 신관동 553,","
5,금학생태공원,충청남도 공주시 수원지공원길 74,","
6,대한불교조계종 동학사(東鶴寺),충청남도 공주시 반포면 동학사1로 462,"숲속에 자리 잡은 유서 깊은 사찰이자 승려를 위한 학문 기관으로, 매해 꽃 축제가 열립니다."
7,무령왕릉,충청남도 공주시 웅진동 왕릉로 35,인상적인 설계와 금관 등의 보물로 유명한 6세기 고대 왕릉입니다.
8,충청남도 공주,충청남도 공주시 공산성길,","
9,공주한옥마을,충청남도 공주시 웅진동 11,","
10,금강둔치공원,충청남도 공주시 신관동 553,","
11,송산리 고분군,충청남도 공주시 신관동 553,","
12,정안천생태공원,충청남도 공주시 의당면 청룡리,","
13,웅비탑,충청남도 공주시 웅진동,","
