,0,1,2
0,덕산온천 관광지,충청남도 예산군 덕산면 사동리 415,","
1,충의사,충청남도 예산군 덕산면 시량리 119-1,","
2,예당관광지,충청남도 예산군 응봉면 후사리 448,","
3,예당국민관광지,충청남도 예산군 응봉면 후사리 448-1,","
4,수덕사,충청남도 예산군 덕산면 수덕사안길 79,1308년에 건립된 불교 사찰 및 국보로 소나무 숲과 산으로 뒤덮여 있습니다.
5,예당 출렁다리,충청남도 예산군 응봉면 후사리 89-2,","
6,예당호 조각공원,충청남도 예산군 응봉면 후사리,","
7,예당호수,충청남도 예산군 응봉면 후사리 76-3,","
8,봉수산자연휴양림,충청남도 예산군 대흥면 임존성길 153,","
9,덕산도립공원,충청남도 예산군 덕산면 사천리 20,","
10,임존성,충청남도 예산군 대흥면 상중리 산8,","
11,이남규선생고택,충청남도 예산군 대흥면 상중리 산8,","
12,향천사,충청남도 예산군 예산읍 향천리 57,","
13,충효정,충청남도 예산군 응봉면 등촌리 산2-2,","
