,0,1,2
0,할미할아비바위,충청남도 태안군 안면읍 승언리,","
1,태안 방포항,충청남도 태안군 안면읍 승언리 1318-1,","
2,솔향기길 1코스,충청남도 태안군 이원면,","
3,태안 신두리 해안사구,충청남도 태안군 원북면 신두리 산 263-1,","
4,신두리해수욕장,충청남도 태안군 원북면 신두리,","
5,만리포 해수욕장,충청남도 태안군 소원면 만리포2길 130,","
6,안면도 자연휴양림,충청남도 태안군 안면읍 안면대로 3195-6,","
7,천리포수목원,"천리포수목원, 187 천리포1길 소원면 태안군 충청남도",바다 옆의 수목원으로 토종 식물뿐 아니라 목련과 다채로운 단풍나무 등 외래종 식물도 있습니다.
8,만리포전망타워,충청남도 태안군 소원면 가락골길 14-10,","
9,안면송림,충청남도 태안군 안면읍 정당리 277,","
10,청포대해수욕장,"충남 태안군 남면 양잠리 ,원청리",","
11,파도리 해식동굴,"충남 태안군 남면 양잠리 ,원청리",","
12,용난굴,충청남도 태안군 이원면 내리 312,","
13,태안 별주부마을,충청남도 태안군 남면 원청리 565,","
