,0,1,2
0,도담삼봉,충청북도 단양군 매포읍 삼봉로 644-13,"들쭉날쭉한 암석 3개가 강물 위로 우뚝 솟아있는 명소로, 분수 쇼와 스피드보트를 즐길 수 있습니다."
1,사인암(舍人巖),충청북도 단양군 대강면 사인암2길 42,","
2,수양개빛터널,충청북도 단양군 적성면 수양개유적로 390,","
3,다리안계곡예악,충청북도 단양군 단양읍 천동리,","
4,단양강 잔도길,충청북도 단양군 적성면 애곡리 산18-15,","
5,온달관광지,충청북도 단양군 영춘면 하리,","
6,만천하 스카이워크,충청북도 단양군 적성면 애곡리 94,","
7,고수동굴,충청북도 단양군 단양읍 고수동굴길 8,계단을 너머 좁은 통로를 지나 그림 같은 산책로가 펼쳐지는 자연 동굴입니다.
8,다리안폭포,충청북도 단양군 단양읍 천동리,","
9,단양다누리아쿠아리움,충청북도 단양군 단양읍 별곡리 568,","
10,단양 천동동굴,충청북도 단양군 단양읍 천동리 201,","
11,단양 청춘패러,충청북도 단양군 단양읍 천동리 201,","
12,이끼터널,충청북도 단양군 적성면 애곡리 129-2,","
13,새밭계곡,충청북도 단양군 가곡면 어의곡리,","
