,0,1,2
0,솔향공원,충청북도 보은군 속리산면 갈목리 77,","
1,만수계곡,충북 보은군 내속리면 만수리,","
2,서원계곡,충청북도 보은군 장안면 서원리,","
3,오장환문학관,충청북도 보은군 회인면 회인로5길 12,","
4,속리산 말티재 (말티고개),충청북도 보은군 속리산면 갈목리 산19-6,","
5,삼년산성,충청북도 보은군 보은읍 어암리 산1-1,","
6,속리산조각공원,충청북도 보은군 속리산면 사내리,","
7,구병리아름마을,충청북도 보은군 속리산면 구병리 299-2,","
8,속리산국립공원,충청북도 보은군 속리산면 법주사로 84,경치 좋은 산악 지형을 갖춘 광대한 국립 공원으로 커다란 고대 불교 사찰이 있습니다.
9,대한불교조계종 법주사(法住寺),충청북도 보은군 속리산면 법주사로 405,6세기 승려 의신이 창건한 법상종 사찰로 건물이 60채가 넘는 큰 사찰입니다.
10,보은동헌,충청북도 보은군 보은읍 삼산로 56-14 (삼산리),","
11,동학농민혁명 기념공원,충청북도 보은군 보은읍 성족리,","
12,충북알프스자연휴양림,충청북도 보은군 산외면 속리산로 1880,","
13,팔상전,충청북도 보은군 속리산면 사내리 209,","
