,0,1,2
0,진천농교,충청북도 진천군 문백면 구곡리 601-32,","
1,진천종박물관,충청북도 진천군 진천읍 백곡로 1504-12,","
2,연곡계곡,충청북도 진천군 진천읍 연곡리 516,","
3,보탑사,충청북도 진천군 진천읍 연곡리 483,","
4,진천 이팝나무길,충청북도 진천군 진천읍 성석리 102-3,","
5,인공폭포(진천),충청북도 진천군 문백면 구곡리,","
6,만뢰산자연생태공원,충청북도 진천군 진천읍 김유신길 340-38,","
7,백곡천 공영주차장,충청북도 진천군 진천읍 읍내리 156-1,","
8,영수사,충청북도 진천군 초평면 영구리 542,","
9,진천역사테마공원,충청북도 진천군 진천읍 장관리 710,","
10,진천 길상사,충청북도 진천군 진천읍 벽암리 508,","
11,화랑공원,충청북도 진천군 진천읍 벽암리 508,","
12,생거진천자연휴양림,충청북도 진천군 백곡면 명암길 435-135,","
13,천년정(진천),충청북도 진천군 문백면 구곡리,","
